latitude,longitude
53.4619867,9.8544548
53.6185538,10.0731676
53.4779975,10.2394884
53.590613,10.1786475
53.468268,9.9675139
53.4651684,9.9482737
53.6161635,10.1212615
53.616286,10.1208637
53.5210779,9.7796666
53.6109447,10.1637856
53.5938415,10.1824916
53.6192507,9.9009184
53.4708123,9.9323986
53.6276836,10.100182
53.4705251,9.9527705
53.5030815,9.9051875
53.5921246,10.1736593
53.629887,9.9396928
53.5899144,10.0780441
53.5887572,10.0784592
53.5906541,10.08445
53.5923185,10.075864
53.5917169,10.0751114
53.5854694,10.0782472
53.5850474,10.0782349
53.5847437,10.0776652
53.5848961,10.0795237
53.5864552,10.0860885
53.5863177,10.0864954
53.5878613,10.0928904
53.58767,10.0931445
53.5889053,10.0979217
53.5890088,10.099685
53.6263448,9.9371248
53.4262123,9.9615301
53.4697266,9.9621947
53.4692085,9.9637233
53.5123891,10.1781801
53.5125066,10.1786359
53.5113457,10.1861002
53.5115096,10.1866254
53.5099538,10.1855346
53.5107093,10.1979068
53.5107231,10.1973308
53.5108125,10.1979844
53.5045564,10.191354
53.5118295,10.1928384
53.5081063,10.1868629
53.5079488,10.1870609
53.5117231,10.1929157
53.5098449,10.210194
53.5075796,10.2107627
53.5080969,10.2109198
53.5103851,10.2103431
53.513014,10.2089754
53.5101628,10.2096678
53.5046028,10.2118651
53.5062359,10.1993575
53.5046443,10.203787
53.5073079,10.199188
53.5025187,9.8776822
53.5298516,9.8054176
53.5474199,10.0851071
53.5475553,10.0842941
53.5478158,10.0851153
53.5917301,10.0875917
53.5939304,10.0862837
53.5949051,10.0857
53.595304,10.0913288
53.6181205,10.0900203
53.6178619,10.0889753
53.6149271,10.0764836
53.6090495,10.0730826
53.6081209,10.0719078
53.6087803,10.0712371
53.6085838,10.0730438
53.6023112,10.0696354
53.6006777,10.0680792
53.5998885,10.0697275
53.5999958,10.0699107
53.5968754,10.0719872
53.5966257,10.0724277
53.5803773,10.0811237
53.5802074,10.0809969
53.5793421,10.0756171
53.5794948,10.0740479
53.5743629,10.0736418
53.5749507,10.0745742
53.5749137,10.0759903
53.57102,10.0828218
53.5477574,10.0854319
53.5797926,10.1446881
53.5929144,10.171247
53.5952334,10.0914579
53.5968665,10.0916585
53.5971614,10.0919163
53.6002083,10.091325
53.5993798,10.0914666
53.5824217,10.0686422
53.5822702,10.0663088
53.5829804,10.0675529
53.5817759,10.0678128
53.4897646,10.1531608
53.5842074,10.0537719
53.5851315,10.0530258
53.5519464,10.0115358
53.5770224,10.0247978
53.5788229,10.0227808
53.4500443,9.937463
53.5583683,9.8614695
53.5663172,9.8662215
53.6033072,9.8930386
53.6033862,9.8925666
53.5267786,9.8230436
53.5866621,10.0332058
53.5016061,10.205673
53.471704,9.9314053
53.5824931,9.8576608
53.5819121,9.8570213
53.5843059,9.8528219
53.4171521,9.9827822
53.4457765,9.9911735
53.4469115,9.9908866
53.4506421,9.9877066
53.4513075,9.9873239
53.6551996,10.1255287
53.6556857,10.1327226
53.5653241,9.9123106
53.5451068,9.9697707
53.5980935,10.0419976
53.5992053,10.0415709
53.6548333,10.1178029
53.6437623,10.1206688
53.5786401,10.0498553
53.5787755,10.0497166
53.5795792,9.8300091
53.579794,9.8301239
53.4341061,10.0108613
53.4342452,10.0102306
53.4374749,10.0041248
53.4375669,10.0037892
53.4398846,10.0018179
53.440013,10.0013853
53.4427442,9.9971391
53.4426163,9.9971115
53.5732721,9.8469399
53.5944431,10.0441399
53.5940619,10.0440401
53.5515032,10.0041463
53.5515913,10.0037825
53.5788449,10.0138237
53.5786675,10.0137252
53.580395,10.0195394
53.5808123,10.0204696
53.5784072,10.0218767
53.5766365,10.0239005
53.5747722,10.0219395
53.5745699,10.0217767
53.5788312,10.0322302
53.6562866,10.1600058
53.653333,10.1510159
53.6560678,10.1345964
53.4721768,10.2618558
53.4725894,10.2604537
53.4776963,10.2416583
53.5692398,9.8663075
53.5713749,9.8684508
53.5710854,9.870117
53.4722361,9.882688
53.5561822,9.9773358
53.5559036,9.9774258
53.5547806,9.9813267
53.5544136,9.9816403
53.5523907,9.9852323
53.5514287,9.9856411
53.5503904,9.993798
53.5503215,9.9940737
53.5470248,10.0612712
53.5464236,10.0608406
53.5471562,10.0572752
53.5470458,10.0576027
53.6322377,10.1052861
53.4719931,9.8844338
53.5552085,9.9513929
53.5840675,10.0207113
53.5838648,10.0203806
53.5869284,10.0175085
53.5863188,10.016876
53.5950926,9.9854373
53.6011138,9.9847885
53.5998394,9.9837472
53.6126269,10.0164746
53.6148367,10.0219826
53.6171653,10.0267012
53.6168229,10.0257139
53.6145574,10.0211885
53.6124616,10.0156048
53.6067327,9.9930841
53.6056542,9.9962445
53.6089149,10.0109192
53.6085064,10.0099521
53.6073966,10.0054328
53.6068624,10.0039571
53.604798,9.9996081
53.6015545,9.9966698
53.6016111,9.9969411
53.5972443,9.9968825
53.5976983,9.9970617
53.5946474,9.9991383
53.5944048,9.9995847
53.5941193,9.9960564
53.5941811,9.9968114
53.5929806,9.9890195
53.5973158,9.9794617
53.5977707,9.9773575
53.5984195,9.9725096
53.5987615,9.9710639
53.5946129,9.9666637
53.5935613,9.9665356
53.5520008,9.9402004
53.5516093,9.9457683
53.4242003,9.9733134
53.6148516,10.0355221
53.6121673,10.0368759
53.6077994,10.0385433
53.6049467,10.0401638
53.6017772,10.040751
